InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV1000,,Product 0,20,2024-01-04,99.85,66714,Germany
INV1000,,Product 0-1,10,2024-01-04,99.85,66714,Germany
INV1001,STK802,Product 1,15,2024-11-26,81.42,61694,France
INV1002,,Product 2,18,2024-09-24,89.16,32208,France
INV1002,,Product 2-2,15,2024-09-24,89.16,32208,France
INV1003,,Product 3,5,2024-09-14,68.33,72547,UK
INV1004,,Product 4,8,2024-05-02,56.4,63055,USA
INV1005,STK712,Product 5,19,2024-12-09,22.49,95488,France
INV1006,STK202,Product 6,19,2024-01-18,7.98,21604,Canada
INV1007,,Product 7,1,2024-10-18,18.85,33373,USA
INV1008,STK392,Product 8,6,2024-02-15,12.96,83153,Canada
INV1009,,Product 9,11,2024-01-22,18.22,77728,UK
INV1010,STK109,Product 10,8,2024-09-17,73.69,33574,Germany
INV1011,STK378,Product 11,3,2024-10-27,81.49,13805,Canada
INV1012,,Product 12,19,2024-04-10,6.21,78185,Germany
INV1013,,Product 13,17,2024-06-24,28.37,43593,Canada
INV1014,STK148,Product 14,8,2024-12-24,99.38,86711,USA
INV1015,,Product 15,18,2024-02-03,72.25,13832,Australia
INV1016,STK690,Product 16,18,2024-01-20,38.65,89533,Australia
INV1017,,Product 17,10,2024-07-14,66.11,56038,Germany
INV1018,STK141,Product 18,14,2024-04-12,75.06,64290,UK
INV1019,STK873,Product 19,4,2024-04-07,17.36,33638,Australia
INV1020,STK120,Product 20,8,2024-02-21,86.97,63537,Canada
INV1021,STK216,Product 21,2,2024-06-21,50.45,72141,UK
INV1022,,Product 22,12,2024-04-05,85.3,94499,Australia
INV1023,,Product 23,7,2024-04-27,45.77,15539,UK
INV1024,STK758,Product 24,14,2024-03-11,23.24,14143,Germany
INV1025,STK659,Product 25,1,2024-12-09,59.62,11929,Australia
INV1026,STK191,Product 26,4,2024-10-14,31.39,22314,Australia
INV1027,STK583,Product 27,14,2024-10-17,92.53,43860,Canada
INV1028,,Product 28,14,2024-04-03,64.57,35548,UK
INV1029,STK955,Product 29,9,2024-08-12,44.71,47352,UK
INV1030,STK855,Product 30,18,2024-12-04,37.5,81623,Germany
INV1031,STK646,Product 31,8,2024-05-08,91.9,94912,Australia
INV1032,,Product 32,20,2024-03-17,84.3,54992,Canada
INV1033,STK323,Product 33,2,2024-05-19,57.15,84420,Canada
INV1034,STK631,Product 34,11,2024-10-03,98.11,43918,USA
INV1035,,Product 35,14,2024-07-09,68.03,30348,Canada
INV1036,,Product 36,11,2024-08-12,97.31,55216,France
INV1037,STK328,Product 37,1,2024-08-26,11.72,77723,Canada
INV1038,STK605,Product 38,12,2024-11-04,45.95,69034,UK
INV1039,STK285,Product 39,13,2024-04-14,58.45,47621,France
INV1040,,Product 40,3,2024-09-09,18.43,82439,France
INV1041,STK239,Product 41,2,2024-12-22,91.76,87533,France
INV1042,,Product 42,14,2024-06-05,88.83,11609,Australia
INV1043,,Product 43,8,2024-09-23,35.87,88003,UK
INV1044,,Product 44,8,2024-06-27,35.57,94094,Canada
INV1045,STK998,Product 45,11,2024-09-09,41.56,48774,France
INV1046,STK456,Product 46,19,2024-02-21,37.37,65968,USA
INV1047,STK597,Product 47,13,2024-08-27,55.44,88534,France
INV1048,STK700,Product 48,9,2024-12-07,98.97,14361,Germany
INV1049,,Product 49,14,2024-01-10,22.85,61295,Germany
INV1050,,Product 50,4,2024-02-12,42.56,48337,France
INV1051,STK300,Product 51,11,2024-10-12,63.34,75968,France
INV1052,,Product 52,11,2024-04-11,56.64,84341,Australia
INV1053,,Product 53,14,2024-02-22,45.11,68149,Australia
INV1054,STK812,Product 54,13,2024-05-08,19.29,92021,Australia
INV1055,STK543,Product 55,1,2024-05-28,97.38,69501,UK
INV1056,STK456,Product 56,6,2024-05-01,96.2,55508,UK
INV1057,STK910,Product 57,20,2024-09-17,6.72,61770,Canada
INV1058,STK291,Product 58,13,2024-03-12,68.33,17066,UK
