Country,WeekNum,NumInvoices,TotalQuantity,InvoiceValue
UK,39,487,29479,321874.88
UK,33,114,36014,118840.57
Canada,36,314,7680,454109.44
Canada,33,277,7875,467849.44
Germany,42,115,26607,126918.22
Australia,15,100,17396,51987.48
UK,1,357,35995,449956.56
Canada,10,337,26106,356022.19
Australia,28,99,30924,249944.61
UK,25,82,14336,395488.61
France,43,50,43832,122851.37
France,51,124,21777,40411.58
UK,52,392,6026,195387.97
UK,7,193,21309,154709.18
Canada,45,65,14490,198655.85
Germany,30,316,10521,51543.22
Germany,8,94,29007,267706.96
Germany,17,388,47876,205831.62
Germany,48,158,9439,33822.28
UK,25,405,31926,477917.5
Germany,25,275,31100,485720.57
USA,19,311,40923,59212.27
France,29,289,36910,418061.97
USA,21,500,44801,340685.56
France,14,66,17338,141070.73
USA,51,136,23303,424510.85
UK,9,500,31541,142684.08
USA,35,186,37196,186333.95
UK,49,397,49974,363546.15
Australia,20,212,17401,420499.65
Australia,45,346,35509,377647.28
France,24,435,13979,367488.99
Germany,45,264,18308,497124.1
Australia,13,132,39423,97500.44
Germany,5,451,16298,212113.82
France,3,164,37270,144332.91
Canada,48,58,30919,175286.26
Canada,40,141,45496,256489.6
Germany,9,261,13620,407160.37
France,46,376,3229,436210.15
Canada,1,443,7190,208604.78
Germany,46,383,18389,450679.41
USA,20,78,19896,383596.77
France,33,473,33313,244252.23
France,1,322,37861,380352.96
France,15,272,47561,406967.22
Australia,33,254,11935,496193.97
Canada,13,133,31617,415401.82
Germany,47,278,11319,17459.06
USA,12,259,19308,400363.0
Australia,51,162,28742,234137.47
Australia,33,90,49629,15707.01
Canada,42,257,11552,195892.93
Australia,16,403,4790,277763.76
Germany,48,76,9276,400291.56
Canada,28,248,25981,440634.71
Germany,8,363,43781,175780.98
Germany,4,147,34806,373203.97
France,30,61,28820,370244.96
USA,5,116,34752,43117.86
Canada,4,98,36058,301183.98
UK,14,50,27650,338874.99
UK,36,466,45455,418043.7
Germany,42,95,42267,185467.75
USA,6,471,45598,68700.2
France,5,313,15301,457833.63
USA,49,54,35786,424776.2
UK,31,87,14089,435175.16
Germany,43,201,43970,152641.71
Canada,32,300,9463,318019.87
USA,46,216,14767,394695.79
Canada,16,461,22162,218091.63
Germany,50,403,19580,69354.95
USA,22,126,6776,382036.37
Germany,22,392,20022,197105.51
USA,22,474,16439,133812.92
USA,29,104,15575,325150.32
Australia,30,53,43252,30112.61
UK,51,76,34806,313301.81
France,3,338,31547,204113.08
Australia,39,296,9332,369957.26
USA,5,73,9649,164513.37
Canada,40,313,36586,51431.84
France,22,131,31011,292326.77
Germany,14,111,29142,391718.63
USA,6,125,2867,327672.62
Canada,50,397,20053,114352.58
Australia,1,444,10923,193294.07
Canada,29,341,15557,180724.4
UK,20,70,15018,400280.81
Germany,18,485,21428,475582.56
UK,7,482,12347,62895.45
Australia,19,81,22653,233544.03
UK,24,364,22300,160095.69
USA,49,111,5391,279915.31
USA,45,81,33811,236303.43
France,48,274,2967,264585.71
France,20,473,8376,498107.82
Australia,46,249,9004,204696.47
Australia,35,99,12651,393498.11
UK,28,391,10286,154094.74
Germany,42,85,48738,385482.49
Australia,50,468,13331,70279.74
UK,3,56,42108,148878.1
France,23,344,8111,485206.28
Australia,8,132,38993,196384.47
UK,8,243,29740,459350.2
Canada,41,287,2724,219186.91
Germany,41,88,35083,276975.83
France,15,236,23214,306276.2
USA,26,325,45830,348210.29
France,4,103,46608,32623.36
Canada,42,338,8662,28452.99
USA,20,290,41975,161805.26
Germany,27,72,18206,302369.6
France,10,468,43661,15640.94
USA,13,101,17370,285990.15
USA,26,440,35300,260135.78
USA,42,311,32606,469070.24
UK,45,391,2273,336698.58
Australia,3,396,9401,263332.01
Canada,8,454,29514,78765.33
USA,34,474,40417,454639.18
France,49,406,6506,364437.55
Canada,9,413,2469,351099.1
Germany,34,145,46791,220256.71
USA,41,80,44066,21049.46
UK,14,305,20449,456552.01
UK,26,121,13593,470915.91
USA,27,349,41193,29007.45
USA,46,423,44742,268741.4
USA,34,284,21375,480115.53
USA,32,170,47870,486932.29
UK,41,483,47800,484088.01
Germany,23,73,11469,213942.98
Canada,32,191,32751,162530.58
France,7,382,43262,312768.3
Australia,37,132,14600,319887.28
Australia,12,318,21024,212940.32
USA,52,484,15789,363216.85
Canada,49,149,47126,162914.31
France,27,373,45108,368592.15
Australia,49,260,41663,202724.32
Germany,41,147,4962,63236.46
Germany,10,426,23862,228806.38
UK,44,329,27368,383851.41
Canada,49,136,42724,326343.57
USA,19,65,17128,32766.6
Canada,49,187,43640,29221.71
USA,6,422,6468,329353.61
USA,1,92,7756,128825.0
Australia,26,309,13414,440059.57
Canada,5,488,12772,108391.16
France,3,426,15294,130104.29
UK,31,371,21359,458394.57
UK,47,339,20949,183929.22
Australia,30,264,36391,194845.55
USA,5,58,10789,14769.3
Germany,20,351,19368,31059.84
Australia,8,447,9447,181823.07
Canada,3,269,27906,13275.63
Australia,32,326,34699,304334.54
USA,13,222,29218,327088.4
Australia,38,136,21010,437620.08
Germany,45,413,25999,274176.21
France,35,489,18001,272577.36
France,7,262,15563,263301.9
France,32,314,3690,203316.29
France,10,333,2916,306125.4
France,31,316,27155,103586.77
USA,27,280,30340,381962.74
UK,10,215,38086,123855.42
France,30,367,25218,291530.71
USA,28,308,37887,88514.85
USA,12,370,25049,286473.52
USA,12,197,31180,34264.34
Australia,30,212,33693,367773.61
France,5,247,7112,283676.76
USA,17,460,25755,463546.73
UK,29,396,17594,400318.46
USA,8,246,20242,323878.41
France,15,477,32854,403223.83
USA,6,364,14525,227871.25
USA,47,257,28964,260265.8
Germany,47,57,24649,221711.6
Australia,20,398,36140,351593.98
France,8,316,36087,406114.37
Australia,44,238,42828,496192.5
France,51,417,44994,353906.24
France,20,475,16900,349795.53
Australia,22,212,24914,443162.41
UK,47,325,22884,457523.07
UK,5,309,49718,463924.56
Germany,37,264,9952,221971.72
Australia,7,383,8500,244141.09
USA,3,251,23592,440935.96
France,10,493,3362,45392.86
Australia,22,321,6785,198002.71
Germany,5,429,21155,347440.08
Germany,44,497,26183,317385.83
