Country,WeekNum,NumInvoices,TotalQuantity,InvoiceValue
Canada,46,36,630,7560.57
Canada,46,28,3703,28050.76
France,20,49,4229,34041.02
UK,9,6,3607,48266.64
Germany,12,26,679,15299.91
UK,23,39,4795,22482.41
France,8,14,1853,36828.73
Germany,36,8,3546,25459.36
France,8,30,3258,49792.78
Germany,39,11,1193,10128.06
USA,1,8,4109,31642.83
France,44,40,3786,31653.45
UK,3,7,943,32242.09
USA,33,45,417,22402.08
Germany,8,29,3460,14762.3
USA,45,37,1180,36532.0
UK,24,7,2951,17453.05
Germany,44,28,4850,15002.23
Australia,24,17,3153,31983.47
France,3,26,3029,33666.53
UK,31,29,3970,13443.75
USA,15,5,3218,49575.21
Canada,13,24,3685,40677.42
USA,36,5,1923,39241.9
Germany,44,20,4982,41499.88
UK,31,24,1007,36474.58
Canada,50,30,4017,19934.95
UK,11,50,384,37791.38
France,11,15,3082,29010.14
Germany,6,7,3104,29757.83
Canada,25,8,1507,4313.69
Canada,26,11,2035,48620.15
UK,16,24,4739,13173.75
Germany,15,33,766,28163.96
France,20,28,1347,13714.38
Australia,33,30,3677,29580.11
UK,32,44,1732,27062.22
France,20,14,2128,13222.7
UK,42,11,1949,15371.28
Germany,14,10,2463,17563.37
France,35,46,714,26815.43
Canada,30,42,1538,17073.18
UK,1,36,4565,29595.4
USA,43,14,424,49504.0
USA,44,43,315,27540.61
Germany,44,34,2826,38700.23
Australia,5,49,1621,16394.5
UK,41,24,1808,43070.97
Australia,21,16,2346,49839.49
Australia,50,37,4539,42993.47
France,50,18,3793,18847.3
Canada,4,50,1675,32164.1
UK,4,8,2732,12687.76
Australia,38,33,4671,31235.57
Australia,51,29,983,32513.3
UK,36,26,407,36182.42
Germany,7,14,2590,46432.36
USA,17,6,2526,40875.47
USA,28,32,466,7883.91
Canada,24,20,1081,5622.58
Australia,36,38,1307,31051.76
Germany,47,6,1249,44372.11
Australia,9,29,155,20514.8
Canada,45,43,841,43601.26
Canada,4,22,3401,22123.87
Canada,50,27,587,2246.7
USA,14,50,3913,5227.31
Canada,42,37,4071,33838.48
France,4,31,3138,23252.96
Canada,22,38,2477,36517.72
Canada,19,30,2260,9363.09
Australia,1,34,1564,15012.04
USA,48,34,787,46472.87
Canada,24,28,2406,27344.21
Australia,48,12,1866,31558.07
USA,7,40,2902,31542.08
Canada,33,35,1570,44683.55
UK,43,36,3033,34629.51
Germany,47,15,305,49043.95
Canada,15,48,506,21096.41
Australia,4,50,3882,44550.72
Australia,2,28,1928,20514.8
UK,24,17,4540,39046.1
UK,43,14,3623,8060.62
France,46,48,510,42647.95
UK,30,7,1116,47637.44
France,49,43,3600,44604.06
France,40,14,3097,29910.41
Australia,39,48,1635,2000.03
Australia,39,46,2146,28649.32
UK,15,50,3179,13195.31
France,44,49,4031,1349.54
Canada,25,27,1828,24183.84
USA,14,49,1025,20066.01
Canada,29,15,218,12587.98
USA,39,46,3037,8182.21
France,11,21,3232,1389.57
Germany,16,28,3719,28262.69
Australia,24,13,605,37691.46
UK,14,9,737,47030.73
Canada,44,9,1303,9944.3
USA,48,27,1683,38678.59
Germany,42,50,1689,35501.34
Germany,27,48,4882,46991.73
